Month,Purchase_Order,Goods_Receipt,Invoice,Payment
2024-01,1000000,950000,1200000,1180000
2024-02,1100000,1050000,1320000,1300000
2024-03,950000,900000,1140000,1140000
2024-04,1200000,1150000,1440000,1420000
2024-05,1050000,1000000,1260000,1250000
2024-06,1150000,1100000,1380000,1360000
2024-07,1080000,1030000,1296000,1280000
2024-08,1120000,1070000,1344000,1330000
2024-09,1090000,1040000,1308000,1290000
2024-10,1140000,1090000,1368000,1350000
2024-11,1060000,1010000,1272000,1260000
2024-12,1130000,1080000,1356000,1340000
TOTAL,13070000,12470000,15684000,15500000
